issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,claude,This issue has been escalated to the support team for further assistance.,account,escalated,product_issue,Permission issue requires support (score 0.82)
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,hackerrank,This issue has been escalated to the support team for further assistance.,general,escalated,product_issue,Administrative request (score 0.80)
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,visa,This issue has been escalated to the support team for further assistance.,billing,escalated,product_issue,Sensitive financial/security issue (score 0.84)
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,hackerrank,This issue has been escalated to the support team for further assistance.,billing,escalated,product_issue,Billing issue requires support (score 0.79)
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,hackerrank,This issue has been escalated to the support team for further assistance.,billing,escalated,product_issue,Billing issue requires support (score 0.54)
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,hackerrank,This issue has been escalated to the support team for further assistance.,general,escalated,product_issue,Compliance-related request (score 1.01)
"i can not able to see apply tab
","I need to practice, submissions not working",hackerrank,"
Based on the support documentation:

the personal access token you would have used while you explored the api in your account 4 with every call you make you may also choose to include some additional metadata in your payload if there is metadata you need hackerrank to save some commonly seen fields include 5 user email should identify 

Please follow the steps described above to resolve your issue.
",technical,replied,bug,Relevant documentation match (score 0.53)
none of the submissions across any challenges are working on your website,Issue while taking the test,hackerrank,"
Based on the support documentation:

question will be validated for any discrepancies in the hidden test case declaration image5 png if the read only files or hidden files are detected in the project the candidate will see an instruction file project files instructions md which would read read only files the following files are marked 

Please follow the steps described above to resolve your issue.
",technical,replied,bug,Relevant documentation match (score 0.56)
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,hackerrank,"
Based on the support documentation:

panel untitled png visit the centralized test settings article to learn more new user management page for bulk updates the new team management system will introduce an easier to use ui while providing additional filters and actions that simplifies bulk user management a new filter by activity featur

Please follow the steps described above to resolve your issue.
",technical,replied,bug,Relevant documentation match (score 0.81)
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",nan,hackerrank,"
Based on the support documentation:

and are a brassring workbench administrator you should be able to configure the integration yourself if you are not familiar with these apis it is recommended that you work with ibm kenexa professional services who can make the changes on your behalf key features for tests integration send test invi

Please follow the steps described above to resolve your issue.
",general,replied,feature_request,Relevant documentation match (score 1.37)
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?
",Candidate inactivity help,hackerrank,This issue has been escalated to the support team for further assistance.,general,escalated,product_issue,Administrative request (score 1.45)
"it’s not working, help",Help needed,nan,This issue has been escalated to the support team for further assistance.,technical,escalated,bug,No relevant documentation found in support corpus
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,hackerrank,This issue has been escalated to the support team for further assistance.,general,escalated,product_issue,Admin action requires intervention (score 1.01)
"Hi, please pause our subscription. We have stopped all hiring efforts for now.
",Subscription pause,hackerrank,This issue has been escalated to the support team for further assistance.,general,escalated,product_issue,Subscription control requires support (score 0.83)
"Claude has stopped working completely, all requests are failing",Claude not responding,claude,This issue has been escalated to the support team for further assistance.,technical,escalated,bug,Technical issue unclear (score 0.39)
"My identity has been stolen, wat should I do",Identity Theft,visa,This issue has been escalated to the support team for further assistance.,security,escalated,product_issue,Sensitive financial/security issue (score 0.68)
Resume Builder is Down,Help in creating resume,hackerrank,"
Based on the support documentation:

title create a resume with resume builder title slug create a resume with resume builder source url article slug 9106957203 create a resume with resume builder last updated exact mar 7 2025 4 17 pm last updated relative last updated 1 year ago breadcrumbs additional resources job search and applicat

Please follow the steps described above to resolve your issue.
",technical,replied,bug,Relevant documentation match (score 0.98)
"Hello, I have completed an assessment, but my name is incorrect on the certificate. Can you please update it
",Certificate name update,hackerrank,"
Based on the support documentation:

to update the name on your certificate untitled 1434 gif 1 open your certificate page 2 in the full name field enter the name you want to display 3 click regenerate certificate 4 in the confirmation dialog click update name the platform updates your certificate with the new name why did i not receiv

Please follow the steps described above to resolve your issue.
",general,replied,product_issue,Relevant documentation match (score 0.98)
How do I dispute a charge,Dispute charge,visa,This issue has been escalated to the support team for further assistance.,billing,escalated,product_issue,Sensitive financial/security issue (score 0.57)
